GENE	Log_Ratio_54_1	Log_Ratio_54_2	Log_Ratio_54_3	Log_Ratio_54_4	Log_Ratio_54_5	Log_Ratio_54_6	Log_Ratio_54_7	Log_Ratio_54_8	Log_Ratio_7311_1	Log_Ratio_7311_2	Log_Ratio_7311_3	Log_Ratio_7311_4	Log_Ratio_7311_5	Log_Ratio_7311_6	Log_Ratio_7311_7	Log_Ratio_7668_1	Log_Ratio_7668_2	Log_Ratio_7668_3	Log_Ratio_7668_4	Log_Ratio_7668_5	Log_Ratio_7668_6	Log_Ratio_7669_1	Log_Ratio_7669_2	Log_Ratio_7669_3	Log_Ratio_7669_4	Log_Ratio_7669_5	Log_Ratio_7669_6	Log_Ratio_7669_7	Log_Ratio_7669_8	Log_Ratio_7669_9	Log_Ratio_7669_10	Log_Ratio_7669_11	Log_Ratio_7669_12	Log_Ratio_7669_13	Log_Ratio_7669_14	Log_Ratio_7669_15	Log_Ratio_7669_16	Log_Ratio_7669_17	Log_Ratio_7669_18	Log_Ratio_7669_19	Log_Ratio_7669_20	Log_Ratio_7669_21	Log_Ratio_7669_22	Log_Ratio_7669_23	Log_Ratio_7669_24	Log_Ratio_7670_1	Log_Ratio_7670_2	Log_Ratio_7670_3	Log_Ratio_7670_4	Log_Ratio_7670_5	Log_Ratio_7670_6	Log_Ratio_7670_7	Log_Ratio_7670_8	Log_Ratio_7670_9	Log_Ratio_7670_10	Log_Ratio_7670_11	Log_Ratio_7670_12	Log_Ratio_7670_13	Log_Ratio_7670_14	Log_Ratio_7670_15	Log_Ratio_7670_16	Log_Ratio_7670_17	Log_Ratio_7670_18	Log_Ratio_7670_19	Log_Ratio_7670_20	Log_Ratio_7670_21	Log_Ratio_7670_22	Log_Ratio_7671_1	Log_Ratio_7671_2	Log_Ratio_7671_3	Log_Ratio_7672_1	Log_Ratio_7672_2	Log_Ratio_7672_3	Log_Ratio_7672_4	Log_Ratio_7672_5	Log_Ratio_7673_1	Log_Ratio_7673_2	Log_Ratio_7673_3	Log_Ratio_7673_4	Log_Ratio_7674_1	Log_Ratio_7674_2	Log_Ratio_7674_3	Log_Ratio_7674_4	Log_Ratio_7674_5	Log_Ratio_7674_6	Log_Ratio_7675_1	Log_Ratio_7675_2	Log_Ratio_7675_3	Log_Ratio_7675_4	Log_Ratio_7675_5	Log_Ratio_7675_6	Log_Ratio_7676_1	Log_Ratio_7676_2	Log_Ratio_7676_3	Log_Ratio_7676_4
Cj0001	0.364339	0.912572	0.308215	0.715455	0.503964	0.342437	-0.429607	0.846866	-1.110515	-0.731562	-1.446870	-0.304611	-1.316370	-1.295748	-1.767788	0.492877	0.535934	1.916667	-0.039280	1.163468	0.467969	0.789337	0.361497	0.184680	0.074691	0.657172	0.451956	-0.397895	-0.327549	0.109056	-0.368002	0.333799	-0.057008	-0.403394	-0.509196	-0.097053	-0.107700	0.924843	0.013728	-0.427187	-0.810616	-0.205989	-0.157460	0.131951	-0.059849	0.217948	-0.274552	0.511461	0.181481	-0.157567	0.000000	-0.051427	0.147054	0.092320	0.045501	0.630516	0.364681	-0.224380	-0.059765	0.096817	-0.219559	0.155033	0.108078	-0.174058	-0.533117	-0.399081	-0.362225	-0.862274	-0.652642	-0.918503	-0.098682	-3.425930	0.457534	1.873055	-2.588933	-0.545319	-0.045198	0.005450	1.297756	1.135586	-1.551301	-4.601709	0.325050	0.456207	0.222789	1.607206	-2.064395	0.379483	-1.525868	2.182529	0.451912	0.556824	-0.763343	-0.987857	-1.630778
Cj0002	1.036551	0.666765	0.566209	0.920587	0.347257	0.475385	0.352934	0.644059	0.458256	-0.176892	0.574508	-0.606978	0.339148	-0.907747	-0.390685	3.997270	1.411778	1.456165	-0.703397	0.995253	1.013204	0.137754	-0.212894	0.110817	0.694338	-0.481310	-0.037031	-0.291355	-0.771684	1.725115	0.633147	0.069643	-0.162559	-0.550839	-0.696591	0.088301	-0.456064	0.462979	-0.396757	1.299984	1.150604	-0.785830	-0.271036	0.480573	0.152810	-0.050970	-0.499111	0.807207	0.037693	-0.000910	-0.287221	0.151842	0.443411	0.210739	-0.424507	0.641579	0.031656	0.026998	-0.219986	0.918508	0.634908	-0.063094	0.000000	0.193076	-0.303911	-0.169397	-0.344074	-0.125827	-1.589253	-0.747982	-0.196503	-0.316432	-0.553672	-0.144201	-1.985734	-1.067079	-0.060370	-0.782338	-0.274251	0.272627	-0.401716	-3.932284	0.807060	-2.147110	3.477688	-1.528061	1.943094	-1.008992	0.987094	-0.881226	0.665892	0.459114	0.660702	-0.393773	-0.364284
Cj0003	-0.490805	-0.043753	-0.699536	-0.652352	-0.897870	-0.351651	-0.770712	-0.640356	0.508684	-0.017698	0.015675	-0.364925	0.068164	-0.592314	-0.213155	-0.840608	-1.475431	-1.671822	0.812914	0.925424	1.241588	0.255504	-0.320014	-0.604713	-0.616581	0.228023	0.126820	0.685931	0.265619	-0.156767	-0.258884	0.657755	0.155877	0.795976	0.534258	0.522734	-0.033034	-0.107540	-0.587360	0.082915	0.074805	0.092038	0.180303	0.349798	-0.110627	0.429187	0.443039	0.420589	-0.429757	0.354980	0.389556	0.053566	0.252262	-0.315748	-0.509018	0.140835	-0.020345	-0.100434	0.568907	0.416764	-0.238383	0.174896	-0.377205	0.570603	0.138617	-0.299019	-0.035461	-0.757867	-1.501942	-1.715615	-1.134856	1.898658	3.868229	-1.544680	-2.333602	0.027358	-0.014697	-0.169106	0.000000	0.681504	-3.187751	-3.947323	1.230062	-0.605596	0.402198	-0.765644	2.642556	0.029982	1.306180	-0.321991	0.952073	1.709841	0.299869	-0.414696	0.066445
Cj0004c	0.628499	-0.123715	-0.051061	0.116872	-0.182013	0.202578	0.192137	0.320479	-0.270951	0.174963	-0.170923	-0.264993	-0.393433	-0.568622	-0.094557	4.177395	3.358704	2.133207	0.688489	1.756682	1.373449	0.316375	0.037346	0.148763	-0.281509	0.489485	0.228643	-0.339630	-0.552134	-0.259842	-0.506114	-0.135739	0.253891	0.493506	0.077811	0.368231	0.671564	-0.186169	-0.226574	-0.488268	-0.008367	0.919997	-0.325981	-0.242383	-0.091274	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.832099	0.491824	3.043670	-0.954336	-0.493206	-0.104339	-0.657019	0.385185	1.082743	-0.172714	-0.065515	0.677404	0.390635	-0.880481	-0.040941	1.253599	-0.241823	-0.499156	0.278328	0.263321	-3.161436	-0.307622	0.818178	-1.207435	-1.027757	0.008367	0.082424
Cj0005c	0.268636	0.229822	0.358432	0.680536	0.202014	0.254733	0.264002	0.284858	-0.472958	0.200223	-0.711687	0.036450	-0.169404	-0.894409	-0.176780	1.519454	3.814851	1.834108	0.018652	nan	2.098430	0.563433	0.363489	0.247877	-0.020253	0.387430	0.205299	-0.374351	-0.242333	-0.295786	-0.197119	0.111341	0.035229	-0.293778	-0.550112	-0.217590	-0.258119	0.449154	0.260891	0.042204	-0.207394	-0.203314	-0.133359	-0.078588	0.234832	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	-0.733448	-0.237467	-0.486710	-1.231256	1.104647	0.573956	-1.692293	3.852321	-0.596624	1.162127	0.145302	-0.010179	-0.844051	0.741308	1.812175	0.650925	-1.829523	-0.515565	-1.426384	-0.592782	0.010179	-0.231280	-1.038028	0.046941	-2.176492	-0.175962	-1.009257	-0.880365
Cj0006	-1.101752	0.177684	-0.045494	-0.651781	-0.181931	-0.643648	-0.048205	0.568021	-1.059906	0.370241	-0.565379	0.516740	-0.427863	-0.252902	-0.180825	-1.161114	-2.552954	-1.223871	0.968378	2.085616	-1.450244	-1.073331	0.147179	-0.941338	-0.572970	-0.290613	-0.158496	0.737696	0.956812	0.451068	1.147361	0.330062	-0.376754	-0.120480	1.016814	0.648667	-0.317598	0.248519	0.618781	0.375520	-0.074355	0.420571	0.877623	-0.087108	-0.544930	0.345428	0.130693	-0.238056	0.621873	1.496890	-0.178413	0.095523	-0.110968	0.306267	0.083449	-0.260412	0.026241	-0.195844	-0.042042	-0.192179	0.000000	-0.354801	0.251949	0.265846	0.551652	0.127628	0.403086	-0.081965	-0.121066	-1.036518	2.242763	-1.205005	0.622352	0.869997	1.549827	-1.704442	-0.903580	-0.328345	0.316853	3.685273	-0.132812	-2.228975	2.976451	1.039910	-3.307333	-0.326497	0.382465	1.446310	0.176146	-0.850758	0.906479	0.409065	-0.113122	0.569354	1.035351
Cj0007	-1.259144	0.367479	0.578839	-0.508931	-0.660677	0.705036	0.485934	-0.542222	-0.039157	0.262915	-0.374952	0.194837	0.293912	-1.514572	-1.460259	2.146389	2.701268	1.588832	0.423911	2.158374	2.214520	0.038079	0.804684	0.661271	-0.413461	-0.084061	-0.003603	-0.358870	0.003603	1.056880	-0.691566	-0.515346	0.860384	-0.627427	-0.420232	-0.942667	0.024738	-1.177459	-0.356349	-1.109734	0.949544	-0.937363	0.164225	-0.079108	0.490198	0.118198	0.613577	-0.309249	0.769307	-0.357742	-0.179933	0.062498	0.163212	-0.876484	-0.135617	-0.852796	-0.269705	0.053771	0.417710	-0.954224	-0.750296	-0.278734	-0.144727	-0.081499	0.229965	0.132165	0.188938	nan	nan	nan	-0.649169	0.920799	-1.157050	-0.652029	0.373611	-1.426242	-2.043809	-1.761717	-0.238320	-2.603534	1.020300	0.760970	-0.466355	-1.614867	-1.062843	0.052357	1.475270	-0.586539	0.943437	0.046780	0.044812	1.848689	1.748366	2.178612	1.953672
Cj0008	0.206771	0.340580	0.343692	0.489170	0.031730	-0.515174	0.049623	0.057403	0.246599	-0.547161	-0.022729	-0.512685	0.260285	-1.396075	-0.799026	0.492050	0.766053	nan	nan	nan	nan	0.367701	-0.779504	1.245701	0.440840	-0.543269	-1.059782	0.577110	0.382241	1.926618	0.000000	-1.177251	0.942178	0.427934	-1.348142	-0.961534	0.296298	-0.718742	-1.656890	-1.411915	0.235202	0.434817	-0.764762	-0.740275	0.277945	-0.299514	-0.306417	-0.112451	-0.427932	-0.830779	-0.174443	-0.193934	-0.164911	0.176301	0.261908	0.199016	-0.086501	-0.298992	-0.371930	0.262484	0.285460	0.269968	0.585493	-0.549081	-0.714540	-0.303420	-0.512644	-0.126894	0.302521	1.723385	0.023296	1.770342	0.158385	1.106448	2.079300	-0.515848	-1.888332	-0.412491	-0.674553	-3.896429	-1.393797	-1.567961	0.794539	-0.915239	-0.774005	0.091322	2.009051	-0.812303	1.491382	-0.261351	0.833843	1.237472	3.685364	-1.116802	0.064442
Cj0009	-0.303683	0.076852	0.366468	-0.063440	-0.280200	-0.037549	0.038317	-0.143521	0.592375	0.531125	-0.055953	0.000000	0.377361	-1.030765	-0.417688	2.134389	2.851083	2.348343	0.531019	2.653217	1.804251	0.193954	0.684096	0.417492	-0.032680	0.251881	0.505838	-0.357528	0.028564	-0.070675	-0.433560	-0.142240	0.257738	-0.125252	-0.269631	-0.125888	-0.006959	0.162472	0.289058	-0.328069	0.394565	-0.333180	-0.104332	-0.010172	0.435378	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	-0.951095	0.506644	0.781932	0.628491	-1.315544	-0.113262	0.206477	-1.006561	-0.398081	0.879141	-0.804185	0.031807	0.572680	-1.230538	1.057997	-2.328007	1.651459	-0.697645	0.566899	-1.761324	2.557337	-1.304983	0.470485	-0.246811	-1.271602	-1.856445	-1.089261	1.830383
Cj0010c	-0.000413	-0.240419	0.069961	0.124064	0.069148	-0.099263	0.013418	0.031316	-0.367694	-0.236367	-0.508916	0.025214	-0.462655	-0.520824	-0.550974	1.438360	-0.691829	-5.177525	0.479635	nan	1.277760	-0.178378	0.330653	-0.035614	0.301980	-0.572543	-0.413833	-0.658314	0.182754	-0.362196	0.282422	-0.059516	0.123277	0.000413	0.391962	0.084729	0.493079	-0.514252	-0.280912	-0.072524	0.344943	0.086143	0.084688	-0.141350	0.523656	0.002979	-0.193694	-0.392606	0.063405	0.443928	0.060149	-0.180685	0.001435	0.097330	0.207515	-0.004936	0.074316	-0.083411	0.089700	-0.324849	-0.032473	-0.304870	0.070456	0.067812	0.072837	-0.073092	0.284919	-0.695248	-0.041299	0.066443	2.657882	-2.610236	-1.292214	0.890106	-3.770399	-0.068036	0.139033	-1.411940	1.951249	1.431152	-1.731652	-0.593713	-1.624048	2.054126	0.842479	0.456107	-0.619761	0.661559	-0.970508	-0.109772	-0.049233	-2.043944	-1.566365	0.585349	0.038932
Cj0011c	0.033549	0.878116	0.565606	0.072447	0.161453	1.307981	0.521433	0.233977	-0.337389	-0.438427	-0.398232	-0.394942	-0.196431	-1.298956	-1.848775	2.014952	nan	nan	nan	nan	nan	-0.240441	-0.725928	0.028522	1.023151	-0.498990	-0.331746	0.164371	0.521275	0.491279	0.378012	-0.094590	0.475545	0.570426	0.157921	0.220131	0.117969	-0.301867	-0.786969	0.580914	0.943138	-0.334678	-0.526775	-0.010215	0.408801	0.584209	0.879519	0.239148	-1.066112	-0.260035	-0.196945	0.087835	0.001892	0.135997	-0.831303	0.131135	0.412676	0.447322	-0.239924	0.060996	-0.003937	-0.704458	-1.286785	1.195276	1.006254	1.015565	0.435163	-0.539800	-0.001892	-0.572492	-1.654360	-1.224614	-1.548331	-1.911950	-1.878061	-0.687245	-0.308197	0.742338	-0.967017	-0.604108	1.107029	-3.289207	1.686158	0.023627	1.271573	-0.210812	1.242556	-1.537399	1.027112	-0.101286	0.473893	-1.916090	-1.625918	-2.236340	-3.601269
Cj0012c	-0.575175	0.571675	0.074688	-0.264019	-1.007878	0.726713	-0.042536	-0.356393	-0.219529	0.048392	-0.833111	0.213914	-0.470330	-1.207429	-1.590378	-2.229708	1.995703	1.273386	0.221024	2.991772	2.829744	0.291800	-0.076030	0.031964	1.052802	-0.282466	-0.137618	0.119601	0.872683	0.602790	0.485476	0.389673	0.967774	-0.302362	-0.115298	0.487542	0.714311	0.778502	-1.234720	-0.167295	1.018242	0.422639	-0.607764	-0.040451	0.850994	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	-1.275646	-1.751132	-0.794697	-0.057968	0.016510	-0.309193	-0.522730	-0.318922	-0.231521	0.163700	0.000000	-0.670806	-0.016159	0.609165	-1.309095	0.587039	2.350789	1.248002	0.463735	0.824851	-0.195319	1.104733	0.150111	0.763366	-1.564892	-1.350031	-1.357854	-1.825950
Cj0013	0.015823	-0.285871	0.067037	0.356626	-0.590358	0.133149	-0.265385	0.595932	0.113187	0.917568	-0.290677	-0.122585	1.622057	0.000000	0.972100	1.053224	3.634568	1.383359	0.997716	nan	nan	-0.595675	-0.791927	1.114732	0.137294	-1.059172	-1.338649	1.347214	1.289164	0.686156	-0.175261	-0.507402	-0.480292	0.922941	0.162584	-1.766614	-0.359860	0.463794	0.441703	-1.725558	-1.036256	0.483805	-0.072199	-0.755234	-0.363328	-0.321415	-0.537847	-1.449225	-0.471016	-0.411260	-0.756271	-0.160830	0.674931	0.151051	0.521954	0.455181	-0.181986	0.104752	0.055058	-1.478275	-1.751658	-0.481569	0.339757	0.869392	0.433615	0.349325	0.399798	-0.968669	0.183507	-0.850174	-2.814569	0.493461	0.231961	1.621556	-3.207777	-1.462937	0.238133	-0.539422	-0.114733	-0.646846	0.081539	-0.330984	0.383108	-0.194315	0.152224	-0.015967	1.391700	-0.476668	-1.021656	0.046125	0.479514	1.561150	-2.110002	-0.586015	-1.614726
Cj0014c	-1.056385	-0.157148	-0.158498	-0.255038	-0.356303	0.093316	0.123020	-0.038329	-0.343348	-0.274740	-0.571225	0.120418	-0.351602	-1.532495	-1.056585	nan	1.036375	0.851421	0.201055	1.369784	1.020442	-0.387577	-1.263440	-0.876832	-0.760820	-0.354122	-0.397964	1.218962	0.762550	0.181529	0.214020	0.313348	-0.097767	0.512123	0.316859	0.522154	-0.017030	0.534753	-0.307981	0.759481	1.172476	0.125881	-0.209822	0.277980	0.017030	-0.659038	-0.395366	0.054644	0.307690	0.067172	1.164107	0.322752	0.918272	-0.452995	-0.489108	0.331518	1.020712	-0.073417	0.224014	0.076859	-0.420748	0.285437	-0.298981	0.019715	-0.140933	0.064044	0.141452	-0.656362	-0.537327	-1.192015	-1.961024	1.623208	0.425334	-2.026050	1.529382	-0.910262	-2.082043	-0.247792	-0.929943	0.160268	-2.796478	3.279129	1.969806	3.730598	-0.202721	0.486921	-0.462643	0.816495	-0.554797	0.248382	0.303678	-1.995495	-1.644860	-0.827897	-1.524759
Cj0015c	0.378945	-0.389379	-0.229832	-0.391584	-0.432022	0.103966	-0.732735	-0.145280	0.000000	0.279794	-0.389605	0.052498	1.263884	-0.955634	-0.317119	1.612556	2.141677	-0.187596	0.361292	0.785071	1.895078	0.779746	0.466494	0.043858	0.002400	0.093613	0.104598	-0.423110	-0.527737	-0.247039	-0.482393	0.071815	0.090355	0.109232	-0.534691	-0.127027	-0.179127	0.610478	-0.482368	0.166704	1.063439	0.258922	-0.739425	0.059414	-0.118075	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.020078	-0.315108	-0.141030	-1.045884	-0.494173	-0.957336	-0.881231	-1.816740	-0.521929	-1.343605	-1.292567	-1.058886	1.506917	0.464590	-1.549437	0.813669	-1.655090	4.011960	2.090460	-1.885146	1.848803	-0.063291	1.436230	0.178726	0.326465	1.691859	-0.277077	0.058715
Cj0016	-0.418578	-0.078839	-0.008940	-0.767257	0.038200	-0.146299	0.000000	-0.773759	0.490942	0.190497	0.044617	0.103394	1.309634	-0.452116	0.191193	0.283497	1.197194	0.149749	0.737636	1.466057	1.662642	-0.544406	0.942409	-0.323365	-0.366090	0.293508	0.604871	0.169367	0.765327	-0.743984	-0.312792	-0.186760	0.065517	-0.177765	-0.015997	-0.361918	-0.083929	-0.088968	0.496849	-0.673180	0.014420	0.081430	1.332250	-0.062355	0.189900	-0.444529	0.246135	-0.029307	0.737269	-0.334613	-0.384056	0.099311	0.097175	-0.034650	0.205900	-0.638569	0.267604	-0.020663	0.391254	-0.288022	-0.008504	-0.320167	-0.029986	0.237508	0.581488	0.146241	0.452995	0.017074	1.135181	-0.046714	-0.846946	1.373994	0.947941	-4.914947	1.175935	-0.247234	1.668036	-0.283888	-1.369311	0.522419	1.113291	-1.135763	-0.911402	-2.219908	0.577052	-1.334095	-3.726999	-2.654969	-1.255910	-1.374451	-0.056186	-0.696845	2.054428	0.215830	0.429973
Cj0017c	0.044308	-0.179265	-0.274642	-0.109697	0.396079	-0.143078	-0.240418	-0.142798	2.723734	2.629660	2.070294	0.060366	3.898615	2.598881	2.870266	0.253426	-0.510927	-1.267768	-0.078415	-2.171566	0.873789	-0.402948	0.095543	-0.123682	-0.557746	0.009714	0.184486	0.086915	-0.113714	-0.385008	-0.177936	-0.252634	-0.082687	-0.337518	0.112156	-0.279193	-0.277109	0.032863	0.465107	-0.536615	-0.451525	0.190044	0.710770	0.120827	0.171995	-0.349007	-0.045717	-0.204364	-0.116803	0.011654	-0.185228	-0.137591	0.145374	-0.125106	0.142935	-0.598426	0.125958	-0.123891	-0.028644	-0.363381	0.103155	-0.329830	0.150056	0.120747	0.272619	-0.092491	-0.020091	-1.001772	-0.858174	-1.499454	-0.875914	0.401583	0.674339	0.225226	1.150876	1.570881	-0.510466	0.460771	1.503062	0.834258	0.149846	0.570898	1.316270	0.000000	0.896330	-1.016725	0.676380	-1.486102	0.000786	-1.156833	-0.237669	-1.021667	0.573775	0.802478	3.731583
Cj0018c	0.103362	0.050848	-0.335264	-0.259326	0.448294	-0.051536	-0.371532	-0.176588	1.340204	1.044296	1.318057	-0.435127	0.114667	1.873854	2.020267	-0.016853	0.152216	-0.802283	0.163618	0.119107	-2.371719	-0.377823	0.137348	-0.411355	-0.177058	-0.338383	-0.326655	-0.165113	-0.109844	-0.333582	-0.091427	0.006492	-0.288013	-0.426081	-0.153387	-0.070620	-0.263224	-0.328310	0.130072	0.292702	0.148216	-0.138788	0.216720	0.146123	0.234380	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.341097	0.028287	1.426463	-0.006492	1.315367	1.924653	2.490484	1.605873	1.944382	1.067629	2.173200	-2.578376	-1.478607	-1.598317	1.447734	-0.630297	-0.336001	-0.642620	0.174949	-0.818848	-0.044441	-0.864691	-0.247893	1.110494	2.298207	1.523475	1.519757
Cj0019c	0.275688	0.467159	0.118088	0.405531	0.238522	0.159958	0.226291	0.493504	-0.020492	-0.375384	0.146494	-0.072871	-0.103164	-0.405722	-0.169106	0.388454	nan	nan	0.008141	nan	-5.905261	0.025196	-0.027457	0.028313	0.119169	0.093671	0.032214	-0.514871	-0.207228	-0.291329	0.138725	-0.041518	-0.008141	-0.669759	-0.597353	-0.091675	0.136393	0.177072	0.071554	-0.451747	-0.387197	0.030871	-0.251044	-0.231149	-0.142329	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.548174	0.532057	0.904956	-0.938180	-0.292199	0.228358	-1.075009	0.407220	-0.936939	-1.061876	-0.833780	0.364113	1.758090	1.326089	-0.811599	-0.552031	-1.293286	0.609736	0.053960	0.281017	-0.457194	0.107055	-0.374435	0.549711	-1.756552	0.124837	-1.046626	-3.826880
Cj0020c	-0.028484	0.122837	-0.046591	-0.141652	0.324599	0.572921	0.066577	-0.029131	0.399592	0.278720	0.150213	-0.039370	0.348148	-0.776791	-0.034821	nan	0.599765	2.490977	-3.905751	nan	0.716683	-0.564063	-0.278475	0.510060	0.171004	-0.441311	-0.335542	0.240895	0.299790	-0.021438	0.000000	-0.179981	0.030402	0.030378	0.091015	-0.384634	-0.078544	0.545422	0.413116	0.433398	0.665113	-0.203352	0.272662	0.155018	0.211391	1.268619	0.058169	-0.958413	-0.885805	-0.128069	-0.594423	-0.825376	0.553963	-0.835835	0.600014	0.178761	-0.530076	-0.522209	0.508608	0.605397	0.217200	-0.834391	-0.231065	1.319678	0.873903	0.576967	1.034845	-0.150938	-0.448918	-0.191086	-1.906835	0.623799	-0.390477	-1.662263	-2.826817	-0.944093	-0.845237	-0.682896	-0.202223	0.337033	2.296588	2.503626	-0.442601	-0.288806	3.785719	-0.424065	1.154294	-0.092859	0.544509	-0.073384	0.328914	-0.162471	-0.397505	1.110598	-2.656082
Cj0021c	-0.388449	-0.260654	0.120204	-0.297528	-0.840023	-0.010622	-0.180341	0.016150	-1.377629	-0.393514	-1.038009	-0.039557	-2.146538	-1.800957	-2.358232	-6.152184	0.448080	nan	0.162982	nan	nan	0.265149	0.471256	0.016602	0.222659	-0.112752	-0.011929	0.172742	0.089294	0.342266	-0.408647	-0.323303	-0.029475	-0.290215	-0.485244	0.032818	0.801781	0.028441	0.436245	1.051756	0.610857	-0.098786	0.630328	0.493625	0.034104	-0.005881	-0.061197	0.005881	0.855664	-0.052573	-0.061051	-0.028543	-0.076875	0.462230	0.545813	0.452257	0.239655	0.113862	-0.091716	0.350766	0.304335	0.379532	0.542313	-0.104901	-0.183851	0.100985	-0.075434	-0.171939	0.161456	0.111009	0.413752	-0.062478	0.848327	-1.232206	-0.235080	-2.983344	-1.656696	-0.958716	-0.049312	1.093589	0.187900	1.040331	0.088874	-0.676585	0.187386	-0.391687	-0.265987	0.551726	-0.092836	0.262575	0.118088	2.691712	-1.155731	1.690915	-0.113970
Cj0022c	-0.392660	-0.151728	-0.020108	-0.124214	-0.818009	-1.014324	-0.346556	0.411190	-1.129703	-0.294221	-0.524243	-0.164713	-1.925522	-0.394027	-0.395502	-3.393972	1.814916	1.556613	0.064880	2.836110	0.549287	0.362725	0.130959	0.200015	-0.238066	0.967515	0.757031	-0.216472	-0.258614	-0.528699	-0.712241	0.189981	0.265408	0.449720	-0.099262	0.026023	0.447425	0.000000	-0.309345	-0.641409	-0.229316	0.760297	0.315382	-0.276156	-0.221430	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.196886	2.193298	1.311344	0.200523	0.346541	1.955177	0.574360	1.081570	-0.235824	-1.140399	-0.605398	-1.468495	-0.221521	-0.468323	2.040916	-1.047193	1.426461	1.085430	-0.577702	-0.586084	-0.134710	0.031026	0.914950	0.375043	0.251415	0.150301	0.238518	2.900909
Cj0023	-0.338564	0.000000	-0.439886	-0.449771	-0.227357	-0.929198	-0.642530	-0.531323	1.599952	0.356583	1.016867	0.101922	1.217506	-0.770089	-0.534037	1.486636	-2.202643	1.613778	-3.323134	1.960031	1.202776	0.283360	0.225190	0.189371	-0.043832	0.614847	0.161098	-0.172661	-0.563880	-0.048074	0.124102	0.498211	-0.095478	0.310355	0.334103	0.883522	0.492233	0.522723	-0.173828	0.549418	-0.274761	0.376379	-0.431327	0.424284	-0.231321	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.012925	-1.322252	-1.892384	1.078998	0.041357	-0.098042	0.741314	1.229680	-1.075265	-0.532959	-0.439384	-0.340375	1.946043	1.076642	-0.055366	-0.926056	-2.215148	-1.429240	0.963308	-1.502780	0.333480	-0.075408	1.792009	-0.223765	0.447320	-0.101444	2.107170	-0.091226
Cj0024	0.668463	-0.112245	-0.049608	0.052115	0.688507	0.257564	-0.205950	-0.103225	0.570053	-0.468240	0.487663	-0.078543	0.221739	0.005499	-0.166589	0.750694	-0.176681	-0.157371	0.217973	0.569033	-2.896839	-0.186124	0.336306	-0.213975	-0.561156	-0.152959	0.079095	-0.344472	-0.096435	-0.680849	0.310752	0.282217	-0.083716	-0.340591	0.449108	0.428828	0.013538	-0.133183	0.484117	-0.271801	-0.383836	-0.169090	0.263209	0.126467	0.339457	0.122199	0.370141	-0.371653	0.457143	-0.141810	-0.136138	0.268168	0.113875	-0.272613	0.077847	-0.497520	0.099001	0.097726	0.467059	-0.469779	-0.476414	-0.185346	0.000000	0.207514	-0.088942	-0.155879	0.052418	0.221212	-0.485533	-0.898997	-2.896027	-1.890637	1.652567	-1.523945	2.389049	-0.794072	-1.859499	-0.796876	1.223598	0.165383	-1.975252	-0.719701	4.153310	-3.281180	0.431484	-0.924941	1.287538	-1.587544	0.622761	-1.536803	0.191029	1.432335	0.465048	2.380470	0.498140
Cj0025c	0.308280	0.963976	0.196288	0.617162	0.352836	0.602711	0.000000	0.217361	0.431429	1.118056	0.575656	0.364390	0.487770	0.766510	0.420746	-1.193801	0.650745	-1.226749	0.270963	-1.688530	-0.304039	-1.056104	1.375409	-0.436729	0.426611	-1.043622	-0.238901	-0.215412	-0.027728	-0.880895	2.505411	1.747790	-0.441735	-0.889494	2.432857	1.766865	-0.359911	-1.327156	-0.208905	-0.479770	-0.434813	-0.346972	0.644983	-0.666898	-0.197505	0.668414	1.389884	0.275276	-0.300777	-0.806170	-0.401743	-0.282980	-0.227895	0.222768	0.068620	-1.173811	0.476119	-0.188181	0.170825	-0.952029	0.611463	-0.565601	-0.580808	0.157374	1.631294	0.510652	0.807391	0.624852	-0.561251	-0.877611	-1.556006	-0.948137	-0.275040	-0.162212	-0.086987	-3.535885	-0.161492	0.147464	1.545024	-0.378497	-0.175786	0.610124	-1.090642	1.345894	3.584643	-0.119327	-1.417870	0.254670	1.813058	0.024239	0.208319	-0.591344	0.680242	-1.142947	0.678784
