GENE	Log_Ratio_54_1	Log_Ratio_54_2	Log_Ratio_54_3	Log_Ratio_54_4	Log_Ratio_54_5	Log_Ratio_54_6	Log_Ratio_54_7	Log_Ratio_54_8	Log_Ratio_7311_1	Log_Ratio_7311_2	Log_Ratio_7311_3	Log_Ratio_7311_4	Log_Ratio_7311_5	Log_Ratio_7311_6	Log_Ratio_7311_7	Log_Ratio_7668_1	Log_Ratio_7668_2	Log_Ratio_7668_3	Log_Ratio_7668_4	Log_Ratio_7668_5	Log_Ratio_7668_6	Log_Ratio_7669_1	Log_Ratio_7669_2	Log_Ratio_7669_3	Log_Ratio_7669_4	Log_Ratio_7669_5	Log_Ratio_7669_6	Log_Ratio_7669_7	Log_Ratio_7669_8	Log_Ratio_7669_9	Log_Ratio_7669_10	Log_Ratio_7669_11	Log_Ratio_7669_12	Log_Ratio_7669_13	Log_Ratio_7669_14	Log_Ratio_7669_15	Log_Ratio_7669_16	Log_Ratio_7669_17	Log_Ratio_7669_18	Log_Ratio_7669_19	Log_Ratio_7669_20	Log_Ratio_7669_21	Log_Ratio_7669_22	Log_Ratio_7669_23	Log_Ratio_7669_24	Log_Ratio_7670_1	Log_Ratio_7670_2	Log_Ratio_7670_3	Log_Ratio_7670_4	Log_Ratio_7670_5	Log_Ratio_7670_6	Log_Ratio_7670_7	Log_Ratio_7670_8	Log_Ratio_7670_9	Log_Ratio_7670_10	Log_Ratio_7670_11	Log_Ratio_7670_12	Log_Ratio_7670_13	Log_Ratio_7670_14	Log_Ratio_7670_15	Log_Ratio_7670_16	Log_Ratio_7670_17	Log_Ratio_7670_18	Log_Ratio_7670_19	Log_Ratio_7670_20	Log_Ratio_7670_21	Log_Ratio_7670_22	Log_Ratio_7671_1	Log_Ratio_7671_2	Log_Ratio_7671_3	Log_Ratio_7672_1	Log_Ratio_7672_2	Log_Ratio_7672_3	Log_Ratio_7672_4	Log_Ratio_7672_5	Log_Ratio_7673_1	Log_Ratio_7673_2	Log_Ratio_7673_3	Log_Ratio_7673_4	Log_Ratio_7674_1	Log_Ratio_7674_2	Log_Ratio_7674_3	Log_Ratio_7674_4	Log_Ratio_7674_5	Log_Ratio_7674_6	Log_Ratio_7675_1	Log_Ratio_7675_2	Log_Ratio_7675_3	Log_Ratio_7675_4	Log_Ratio_7675_5	Log_Ratio_7675_6	Log_Ratio_7676_1	Log_Ratio_7676_2	Log_Ratio_7676_3	Log_Ratio_7676_4
Cj1539c	-0.167621	-0.042228	-0.311689	0.219229	-0.285677	-0.153614	0.331282	0.190548	-0.368376	0.161289	-0.317665	0.000000	-0.216155	-0.042098	-0.072288	0.564393	1.605685	0.904605	0.737534	3.029078	0.732878	-0.274882	-0.486579	-0.179915	0.627995	-0.491103	-0.351887	0.625904	0.326210	1.424970	0.972889	0.068384	0.454585	-0.216700	-0.024521	-0.000036	-0.507558	0.167969	0.099357	0.697675	0.416529	-0.532978	-0.044021	0.331355	-0.035192	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.234682	-0.449278	0.106995	-0.220758	1.399746	-0.726180	1.667701	1.638967	-0.263298	0.820454	0.038447	0.482544	-0.092919	-0.797927	1.560997	0.328110	0.735785	-4.457238	1.324262	-1.567283	-0.433623	-1.880271	0.383865	-1.001230	1.748512	-0.290965	-1.344898	-2.182561
Cj1540	0.009286	0.694810	0.076733	0.156895	-0.184762	0.522876	0.375267	-0.011169	0.520399	0.268183	-0.421256	-0.375960	0.965605	-0.809645	-0.068988	-0.973389	-0.414130	-0.520422	-0.253983	-1.350716	-0.870667	-0.796164	-0.817516	0.895669	1.454846	-1.206088	-1.053205	0.413151	-0.739850	1.462718	1.891347	-0.136343	-1.173433	-0.105467	0.039576	-0.416129	-1.114576	-0.492608	-0.200773	1.510484	0.391870	-0.882651	-0.222823	0.036105	-1.261797	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.419040	0.158804	-0.150415	0.119472	0.850161	0.664050	-1.305792	-0.811820	-0.338467	1.129918	0.732643	0.747366	0.140521	1.174920	2.882825	0.463694	0.000000	1.797011	-1.133105	2.011889	-0.984611	0.859255	-0.937506	0.215877	0.243557	-0.443579	0.222295	-3.986036
Cj1541	-0.892551	0.034284	0.473587	-0.026149	-0.530533	0.000000	0.178975	-0.090069	-1.290945	-0.541662	-1.341778	0.163140	-2.009239	-1.826859	-2.268137	1.308262	2.691308	-0.433775	0.043712	2.326954	-1.052989	-0.046402	-1.219633	0.409439	-0.083846	0.067209	-0.589025	1.157557	0.710579	0.807613	-0.080761	0.036559	0.106491	1.083296	-0.088181	-0.147357	0.000781	1.172097	0.586452	0.619287	1.129955	0.827479	0.462964	0.586956	0.286363	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.680522	0.700591	1.203795	-0.981701	1.024798	0.361686	-0.075197	0.751518	-0.782358	-0.861590	-0.335818	-2.699455	-0.968720	0.622572	-0.939538	0.226881	-1.749434	-2.436269	-0.797617	-0.385661	-0.402830	0.225611	-0.559686	-0.284849	0.726054	-0.089332	-0.132426	1.181271
Cj1542	-0.522154	-0.089651	0.183280	-0.137306	-0.636236	0.039594	-0.025389	0.534914	0.453958	-0.229625	0.106068	-0.223669	0.181236	-1.081759	-0.892214	1.647652	3.297443	1.577787	0.533319	nan	1.442744	0.044845	-0.116108	0.371079	-0.045722	0.557601	-0.105875	0.905219	0.138207	0.309482	-0.455319	-0.087774	0.416173	0.451006	0.147030	0.014399	-0.019418	-0.734337	-0.380104	1.007522	1.298808	-0.504067	-0.337004	-0.114608	0.026096	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.179125	-0.693992	-0.577490	-2.952111	2.940914	0.481982	0.987588	0.265414	1.460461	-1.246492	0.076789	-1.060206	-0.346145	1.151309	-1.162783	0.122016	-0.234643	0.489777	-0.886592	-0.513522	-0.131257	0.690240	0.359646	-0.069141	-0.014399	-1.636046	-3.429351	-0.142642
Cj1543	0.181243	-0.812760	0.232925	-0.171331	0.060886	0.000000	0.339122	0.494877	-0.815322	-0.265018	-0.851720	0.118740	-1.470868	-1.825750	-2.296994	-3.927654	0.970009	0.632258	0.085587	2.256597	2.195230	0.290559	0.518883	-0.220896	-0.492091	0.881455	1.080623	-0.340046	0.397649	-1.053176	-0.650175	0.103999	0.066445	0.265397	0.307322	-0.114875	0.392206	0.298076	0.148306	-0.322290	-0.453317	0.044528	0.536661	0.229254	0.515290	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	-0.378188	-0.917437	-0.771634	-0.763923	1.412493	-0.366024	-0.898055	-1.017802	-1.142410	-1.256787	-1.472426	-0.110585	0.786785	-1.434181	-0.254060	-0.312070	1.864646	1.514668	0.805368	0.381921	0.880540	-0.601507	0.725450	0.051499	-0.267834	-2.151788	-0.170535	-0.453490
Cj1544c	0.454936	0.287780	0.463931	0.466180	0.352244	-0.004556	0.388224	0.427202	-0.032661	0.382360	0.096424	0.208307	0.044689	-0.336456	-0.341547	0.945687	0.158635	1.485415	0.399010	nan	nan	0.513274	0.843209	-0.092006	-0.371428	0.909820	0.614354	-0.326236	-0.176574	-0.653838	-0.633418	0.062958	0.020401	-0.582763	-0.039600	-0.346869	-0.379789	0.155254	0.758721	0.134979	-0.365624	-0.179869	0.348778	0.067527	-0.138742	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.825594	-0.904235	-0.468202	-1.561567	2.760716	0.053142	0.545424	0.567809	-1.241819	0.000000	-1.114516	-0.044167	-2.159641	5.012797	-1.015166	-2.307308	-0.123723	-0.189615	-0.495394	-0.598226	-0.553233	-1.127721	-1.511330	0.364119	0.905328	0.085696	-1.595028	-0.963287
Cj1545c	-0.476863	0.069327	0.107512	-0.138648	-0.042502	-0.037047	0.230252	-0.406629	0.526674	0.372987	0.014497	0.090043	-0.550677	-0.615391	-0.436388	0.778216	1.585772	-0.388187	0.083026	2.389769	1.128370	-0.577896	0.682260	1.279740	0.765730	-0.961283	-1.027216	0.163314	0.240779	0.823183	0.797713	-0.711906	-0.004378	0.079995	0.556823	-1.203839	-0.113214	-0.340670	0.222038	-0.226298	0.173887	0.131206	0.812170	-0.361589	0.005067	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	-0.216153	0.122016	0.483028	0.255292	-3.536319	-0.670257	0.315513	-3.292805	-0.216974	0.750462	-1.628772	-0.119565	-3.963030	0.000000	-1.332043	-0.392865	1.684863	-0.269087	0.216621	-0.188378	0.751961	-0.222599	-0.024769	-0.800698	-0.889268	0.406521	0.005396	-0.865624
Cj1546	0.545171	0.357196	0.317126	0.892837	0.281770	0.210469	0.436157	0.763788	-1.572398	-1.574861	-0.773811	0.203947	nan	-0.116622	-0.386999	1.808966	0.897027	1.492496	nan	0.890818	0.584481	0.773065	0.287318	-0.032423	0.094222	0.120695	0.071961	-0.517483	-0.680387	0.372565	-0.223488	-0.102654	-0.080735	-0.406781	-0.994012	-0.140844	-0.129164	0.618533	-0.245922	-0.603320	-1.393391	-0.428666	-0.462047	-0.150423	-0.382871	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.003124	2.010377	-0.974436	0.318330	2.962616	-2.479559	1.131913	1.982033	0.308654	-0.257492	-0.422712	-0.004027	0.762885	0.004027	0.185337	-0.456524	0.856156	-1.881385	-1.460225	-1.622108	0.217212	-1.198452	-1.066193	2.052580	1.360913	-1.134711	-1.034537
Cj1547	0.415620	0.397871	0.117058	0.609591	-0.019863	-0.023032	-0.006551	0.667275	-0.144249	-0.378570	-0.035086	-0.217874	-0.886658	0.185657	0.156964	1.176100	1.716934	2.245434	nan	-3.736377	-3.664975	0.284983	0.428953	0.028274	-0.118070	0.229973	0.419241	-0.283152	-0.004688	-0.556072	0.004688	0.308239	0.123392	-0.121917	0.060873	-0.007913	0.242833	0.321499	0.342185	-0.240452	-0.443188	0.082322	0.449153	0.023674	0.063122	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	-0.051561	1.699388	-0.187741	-1.344568	-1.918898	-0.716563	0.308889	-0.056765	-1.720896	0.345505	-0.485563	-0.990859	-0.189402	0.062946	1.028300	-0.430220	0.099441	-1.586207	-0.959253	-0.632455	1.394284	-2.184004	0.543528	-1.701461	0.186082	-0.716742	-0.515015	1.482699
Cj1548c	-0.116621	-0.065254	-0.149643	-0.158449	-0.322824	-0.068923	-0.364651	0.060963	0.812642	1.261284	-0.098493	0.011037	2.398745	-0.310535	1.032532	-0.676254	0.483086	-0.431005	0.821460	1.082370	1.621867	-0.908330	-0.276583	0.281459	0.596644	-0.534557	0.140961	1.202712	0.564635	-0.458580	0.248537	-0.063015	-0.437286	0.564440	0.910890	-0.618790	-0.719438	1.671869	1.173319	-0.751162	-0.283657	-0.015925	0.000000	-0.508054	-0.510709	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	-0.031611	0.605220	0.393311	1.635942	0.364916	-2.551810	0.841226	-2.640235	0.220695	2.003452	0.467165	2.113261	1.571351	0.306095	-0.689445	-1.713394	-0.007893	1.102553	-1.134313	-0.058402	-0.961113	0.112502	-0.924575	-0.070634	2.043460	-2.163298	0.215263	1.405973
