GENE	Log_Ratio_7440_1	Log_Ratio_7440_2	Log_Ratio_7440_3	Log_Ratio_7440_4	Log_Ratio_7440_5	Log_Ratio_7440_6	Log_Ratio_7440_7	Log_Ratio_7440_8	Log_Ratio_7440_9	Log_Ratio_7440_10	Log_Ratio_7440_11	Log_Ratio_7440_12	Log_Ratio_7441_1	Log_Ratio_7441_2	Log_Ratio_7441_3	Log_Ratio_7441_4	Log_Ratio_7441_5	Log_Ratio_7916_1	Log_Ratio_7916_2	Log_Ratio_7917_1	Log_Ratio_7917_2	Log_Ratio_7917_3	Log_Ratio_7917_4	Log_Ratio_7917_5	Log_Ratio_7917_6	Log_Ratio_7918_1	Log_Ratio_7918_2	Log_Ratio_7918_3	Log_Ratio_7918_4	Log_Ratio_7918_5	Log_Ratio_7918_6	Log_Ratio_7920_1	Log_Ratio_7920_2	Log_Ratio_7920_3	Log_Ratio_7920_4	Log_Ratio_7920_5	Log_Ratio_7920_6	Log_Ratio_7921_1	Log_Ratio_7921_2	Log_Ratio_7921_3	Log_Ratio_7921_4	Log_Ratio_7921_5	Log_Ratio_7921_6	Log_Ratio_7923_1	Log_Ratio_7923_2	Log_Ratio_7923_3	Log_Ratio_7923_4	Log_Ratio_7923_5	Log_Ratio_7923_6	Log_Ratio_7924_1	Log_Ratio_7925_1	Log_Ratio_7926_1	Log_Ratio_7926_2	Log_Ratio_7926_3	Log_Ratio_7926_4	Log_Ratio_7926_5	Log_Ratio_7926_6	Log_Ratio_7927_1	Log_Ratio_7927_2	Log_Ratio_7927_3	Log_Ratio_7927_4	Log_Ratio_7927_5	Log_Ratio_7927_6
GSU0000.1	-2.066114	0.310149	0.246610	2.128555	2.090844	1.886905	-3.039561	-3.317311	-3.102671	0.371864	0.220810	0.907821	-0.684740	-2.054655	-0.989578	1.199283	1.128820	-0.144628	-0.415720	-0.205697	-1.033746	-0.401519	-0.586997	-0.073848	0.395232	0.210494	0.125780	-0.486310	-0.177937	0.885472	0.234659	0.574682	0.352689	0.328085	-0.146110	0.089030	-0.083475	0.000000	-0.123788	-0.291230	-0.233385	0.165157	0.125845	0.426634	0.384391	0.585534	0.068374	0.907160	0.407287	0.325100	0.090977	0.028824	-0.236042	-0.121779	0.054048	-0.375802	-0.059908	-0.048358	-0.063013	-0.118534	-0.258272	-0.274106	-0.005600
GSU0001	-1.831929	0.322182	0.249959	1.945759	1.863455	1.960828	-2.883041	-3.131053	-3.097102	1.239393	1.099905	1.656464	-0.395688	-1.430523	-0.912830	1.377957	1.108938	-0.139426	0.038568	-0.167476	0.443890	-0.217833	-0.010197	1.059238	0.761935	0.407507	0.454325	-0.001387	0.157042	0.023320	0.375608	-0.217681	-0.282926	1.034576	0.679892	-0.169907	0.162262	-0.796650	-0.012720	-0.557321	-0.029855	-0.829555	-0.772770	0.349555	0.115731	0.324903	0.161780	0.224990	0.484818	0.569777	0.042841	-0.187492	-0.113986	-0.077114	-0.045024	0.336279	0.000000	-0.433765	-0.223076	-0.333183	-0.173682	-0.037112	-0.351248
GSU0002	-1.434618	0.700194	0.741094	2.138711	2.816974	2.414466	-1.954805	-2.083466	-1.905206	0.941588	1.060935	1.738394	0.000000	-1.040374	-0.211577	1.808463	1.599427	0.446578	0.415797	-0.053194	-0.212672	-0.292361	-0.350609	-0.204402	-0.259124	0.714646	0.736381	-0.335116	-0.290496	-0.344864	0.030490	-0.502609	-0.470732	0.099021	0.099052	-0.273882	-0.238185	0.057468	0.178519	-0.739278	-0.907459	-0.630705	-0.674081	1.549714	1.191181	1.632638	1.130944	1.642770	1.682663	0.302360	0.246539	-0.025480	0.169331	-0.297750	0.110699	0.531715	0.316169	-0.243691	-0.244261	-0.196171	-0.070893	-0.184317	-0.229551
GSU0003	-1.664008	0.545258	0.577600	1.623235	1.731165	1.781567	-3.818945	-3.672234	-3.477314	-0.035300	0.494883	0.670885	-1.536771	-1.216096	-0.690729	0.295635	0.963279	-0.487000	-0.386874	0.450064	0.451015	-0.003089	0.655433	-0.067103	-0.253535	0.133444	0.188833	-0.023292	0.000578	-0.271532	-0.543490	0.294044	0.061805	-0.247903	-0.102903	0.053720	-0.015287	0.083040	0.073242	0.142334	-0.004481	0.083637	0.017427	-0.786855	-0.818305	-0.242426	-0.858477	-0.801309	-0.802320	-0.129865	0.006878	0.167343	0.224133	0.155071	0.104268	0.193987	0.086875	0.000000	-0.065611	0.026754	-0.034458	-0.069997	-0.100464
GSU0004	-1.469129	0.847181	0.771588	1.718859	1.781741	1.679405	-3.659172	-3.599979	-3.250298	0.559856	0.653788	0.960767	-1.061035	-0.671576	-0.429052	-0.003142	0.912563	-0.150169	-0.350728	-0.945564	0.000000	0.152068	-0.643157	-0.813961	-0.717312	-1.514171	-0.931009	0.099361	0.422114	0.340470	-0.125517	1.030946	0.444713	-0.133743	0.057627	-0.196539	-0.144230	0.016778	-0.062550	-0.237711	-0.227773	0.014141	0.082594	0.520508	0.440433	0.378927	0.238429	0.428399	0.475943	0.066306	0.074503	-0.069867	-0.176988	0.252733	0.209759	0.213840	0.237305	-0.008406	-0.151186	-0.125469	-0.083108	-0.125737	-0.126069
GSU0005	-2.066501	-0.044442	-0.174094	1.636171	2.115013	1.926230	-1.869979	-1.754740	-2.084346	0.375295	0.110781	0.713901	-0.825893	-0.872106	-0.712095	0.957472	0.987327	0.711502	-0.897621	0.396910	-0.106462	0.173253	0.000000	0.875802	1.098030	2.098641	2.095231	-0.343313	-0.449149	2.135835	0.472674	-0.707498	-0.448255	-0.586064	0.064762	-0.848223	-0.725703	-0.103514	0.322465	-1.286494	-0.858744	-0.732474	-0.007598	0.664399	0.536760	1.626537	0.827756	1.232993	1.455956	-0.126649	0.034194	-0.189032	0.086278	-0.717943	0.375452	-0.401761	-0.018485	0.147148	-0.124865	0.010765	0.014692	-0.725946	-0.084797
GSU0006	-3.636849	-0.663694	-0.809766	0.417824	0.828500	0.848354	-1.219749	-1.143029	-1.505229	1.186545	0.299752	0.421991	-1.138752	-2.222099	-1.809683	1.308868	1.788596	-0.090601	-0.738624	-0.667118	-0.345013	-0.278381	0.352420	0.798002	0.178215	-1.277726	-1.331134	-0.517475	-0.668318	0.281502	0.433144	1.431506	0.553224	-0.023698	-0.056390	0.477715	0.053809	0.360795	-0.271321	0.838878	0.567124	-0.704096	-0.891845	1.447319	1.224784	1.037188	1.867670	0.503224	1.341531	0.000000	-0.465614	0.430246	-0.729956	0.852379	0.174352	0.108439	0.523732	-0.701684	-0.335677	-0.537991	-0.235867	-0.247409	-0.626373
GSU0007	-1.541469	0.922047	0.944448	1.189831	2.290892	1.825497	-0.848771	-0.908419	-0.752682	1.002757	0.551773	1.012277	-0.484444	-0.881097	-0.144200	1.819484	2.060331	-0.154728	1.102757	-1.787484	-1.401641	-0.607311	-0.723298	-0.517339	-0.772606	-2.009169	-2.229934	-0.646961	-0.766598	-1.449475	-1.281731	0.000000	-0.462809	-0.866781	-0.395007	0.435795	-0.201741	0.140128	-0.386649	-0.087504	-1.470353	0.082150	-0.214341	0.886208	1.683715	0.668905	1.077028	0.754897	0.120521	0.109986	0.999439	0.347849	-0.294091	-0.363842	-0.583287	0.410306	0.028388	0.240482	0.357622	0.097342	0.338880	0.797872	0.757351
GSU0008	-0.060054	1.054768	0.884399	0.932058	0.871272	1.089535	-0.833632	-0.629056	-0.567165	0.268227	-0.036883	0.405430	-0.000538	0.264209	0.097234	0.298226	0.748742	-0.049512	0.612661	-1.885036	-1.921983	-2.240453	-1.861283	-2.574970	-2.504894	-1.488630	-1.643755	-1.335985	-2.145832	-1.644710	-1.548649	-0.104176	-0.897134	0.346793	0.466331	0.878388	0.764035	-0.098466	-0.544719	0.000000	0.804159	0.434526	0.296766	-1.017481	-0.542558	-0.284979	-0.765996	-0.468541	-0.986516	0.740755	0.696675	-0.021097	0.683501	0.059148	-0.729140	0.797102	0.042925	0.497634	0.277108	0.647923	0.604324	1.006201	0.709926
GSU0009	-1.096775	0.491419	0.451356	-0.049156	0.558068	0.618114	-1.663472	-1.354706	-1.405410	1.296153	0.854528	1.160973	-0.190242	-0.480493	-0.389120	0.213494	0.788485	-0.076708	0.053557	2.009716	2.140964	1.474938	1.908317	2.210070	2.712857	1.374943	1.240253	1.585536	1.193137	2.830489	2.076883	-0.896620	0.090526	-0.424246	-1.040217	-0.210714	0.191945	0.150253	-0.045218	-0.179360	-0.119072	-0.297215	-0.017921	-0.238246	-0.402304	1.533683	-0.095714	0.711341	0.834320	1.259137	-0.014104	-0.937654	-0.459007	-0.029867	0.039557	-0.024922	-0.256953	-0.126969	0.000000	0.090102	-0.065360	-0.250520	-0.150171
GSU0010	-0.311776	2.170216	1.988263	1.979704	1.569071	1.805164	-3.094580	-2.701706	-2.732011	0.679479	0.370684	0.719810	-0.831585	-0.228065	0.526979	0.088493	1.461807	-0.142688	0.549739	-1.063158	-0.968497	-1.142933	-0.847034	-0.087500	-0.629832	0.589257	0.766204	0.649407	0.917389	1.065818	1.246275	0.005581	-0.187022	-1.183956	-0.131460	0.117798	0.197375	0.118790	-0.274945	0.330827	-0.035747	0.104771	-0.281826	0.000000	-0.324340	-0.448723	-0.366565	-0.312927	-0.250110	-0.319055	-0.275459	0.758133	0.924810	0.391887	0.539980	0.537639	0.463990	-0.066663	0.071815	-0.304320	-0.303762	-0.535344	-0.057870
GSU0011	-0.242509	1.634340	1.772704	1.548139	1.338882	1.495605	-2.013627	-1.728200	-1.917257	0.121322	-0.059380	0.410587	0.249861	-0.082822	0.177459	-0.313860	0.952949	-0.134574	0.528008	0.266569	0.534805	-1.192943	-0.887712	0.000000	-1.633476	0.711368	1.397946	0.837013	0.928415	1.761055	1.873914	0.907296	0.106698	0.016016	0.929886	0.070032	-0.847290	-0.688047	-0.762286	-1.062995	-1.515826	-0.945145	-0.614603	0.814135	1.360899	0.523751	1.268945	0.617268	1.293600	0.965130	-0.708824	-0.462705	-0.219117	-0.892024	-0.766960	-0.442929	-0.676398	-0.252926	-1.069784	-0.879316	-0.885392	-0.160392	-0.692266
GSU0012	-1.486355	-1.850253	-1.926811	-0.802589	-0.921221	-0.944958	2.105196	2.497007	3.179274	0.855652	0.248635	0.367539	-0.196495	1.212111	0.935343	-1.247945	-0.152548	0.342348	-0.122161	-0.153039	-0.840861	0.886997	0.489858	-0.591607	-0.110057	-1.275575	-1.089170	-0.309403	0.028102	-0.827309	-0.462508	0.506124	0.334240	0.640949	0.007693	1.854074	0.143940	-0.509603	0.162841	-1.238746	0.217922	-0.953844	-1.140844	-0.483845	0.000000	-1.002507	-0.763634	-0.936065	-1.254465	-0.093929	0.112626	0.594822	0.474602	0.872410	0.511710	-1.395123	0.797134	0.418904	0.697167	0.570688	0.721918	-0.323080	0.457755
GSU0013	-1.971287	-1.327926	-1.343236	-1.663489	-1.355092	-1.319219	2.177773	1.652146	2.113996	0.193908	0.242638	-0.666421	-0.200134	-0.351053	-0.172483	-0.048418	-0.588832	-0.209942	-0.334426	1.245461	0.816745	1.073239	0.649723	0.822484	1.541870	1.393303	1.645425	1.323153	0.831819	2.171321	1.186078	0.316542	0.027727	-1.915734	-2.039131	-1.239317	-0.563661	0.363122	0.316717	0.219760	0.307049	0.000000	1.339025	-0.271367	-0.317888	0.124543	-0.189218	-0.063599	-0.431975	-0.315232	-0.416496	-0.029273	-0.038887	-0.332071	-0.137263	-0.076431	-0.527982	0.705889	0.727149	0.498369	0.655635	1.000202	0.328429
GSU0014	0.114331	-0.431849	-0.525096	-0.986224	-0.350190	-0.471870	1.457512	1.215657	1.627390	0.187809	0.346861	-0.352340	1.678883	0.890059	2.300768	-1.652609	-2.453766	-0.336644	0.641976	-1.017616	-1.319550	-0.708895	-0.951338	-1.093411	-1.078616	-0.739865	-0.587107	-0.971981	-0.805027	0.000000	0.096345	0.394154	-0.197667	-0.738212	-0.356854	-0.080880	-0.010007	0.659666	0.504655	1.411630	0.227633	1.169733	1.356950	-0.910780	0.095704	-0.504229	-0.015593	-1.380231	-0.454658	0.790593	1.385981	0.148533	-0.098452	0.287710	0.188186	0.310653	-0.220040	1.561239	1.346418	1.243241	1.124384	2.183196	1.576320
GSU0015	-0.635384	0.960508	1.052236	0.082074	0.219733	0.200990	-3.218745	-3.271511	-2.889105	-1.737022	-1.464169	-0.585896	-1.798178	-1.833075	-1.474476	0.407039	-0.003927	-0.434326	-1.446722	-0.936873	-1.184359	1.022688	0.171701	-0.102943	-0.220468	0.040895	-0.054357	0.573717	0.994513	0.309565	-0.432640	0.237929	0.315479	0.445122	1.174893	-0.170129	0.165039	-0.084477	0.000000	-0.418075	-0.456863	-0.266905	-0.089952	0.554034	0.612203	0.867098	-0.466002	1.864472	1.003704	0.529593	0.000879	0.102757	0.301006	0.247595	0.591840	0.619112	0.156126	-0.443722	-0.560210	0.041492	-0.576160	-0.208832	-0.103612
GSU0016	-1.706437	-0.404059	-0.501526	-0.140864	0.161254	0.130731	-2.922735	-3.068082	-2.536494	-0.373222	-0.499802	-0.131007	-1.055236	-2.287293	-1.083666	-0.425806	-0.144769	-0.353709	-1.644999	1.202536	1.176121	0.625368	1.042063	-1.267005	-1.425859	1.141489	1.083822	0.953918	1.213810	-0.128667	-0.334596	1.078834	0.658881	0.562480	0.644965	0.283452	0.079056	0.051831	0.004251	-0.174369	-0.040978	0.644036	0.472878	1.486186	0.756793	0.094703	0.918230	0.710498	0.721949	0.011193	-0.174572	-0.506471	-0.908206	0.534526	1.015865	0.547522	0.149798	-0.129697	-0.265492	-0.153851	-0.156835	0.000000	-0.324260
GSU0017	1.088475	0.932952	0.901774	-0.322514	-0.413420	-0.527907	-0.842993	-0.299765	-0.252732	-0.423092	-0.308026	-0.049001	0.319547	0.013453	0.347713	-0.563265	-0.332550	-0.618521	0.532480	-1.810305	-1.423907	-2.138190	-1.580856	-1.184312	-1.299204	1.613511	1.177101	-0.610272	-0.908042	0.309638	0.230799	2.301632	2.162308	0.051548	1.387369	0.922546	0.721315	-0.447746	1.393531	1.617245	-1.325676	-1.891243	-2.140613	1.300182	0.665286	0.576418	1.104335	0.518385	0.376317	1.305064	0.666904	-0.080252	-0.058208	-0.383480	0.000000	-0.034445	-0.341061	0.525534	0.033293	-0.018900	0.092965	0.551712	-0.603466
GSU0018	2.657867	1.893343	2.034981	-1.045259	-1.153705	-1.039490	1.587108	2.248688	2.049839	-0.928427	-0.711197	-0.587386	0.095308	0.716486	0.731211	0.307081	1.069231	0.205030	0.962696	-0.389994	-0.711746	-0.292929	-0.592816	-0.505933	-0.914139	0.772867	0.823825	-0.324456	-0.410055	-0.452410	-0.119215	-0.150279	-0.473008	-0.905349	-0.055101	-0.092848	-0.357882	-0.167351	0.253805	-0.371862	-0.515651	0.004300	0.341496	2.165772	2.035331	1.728090	2.514331	2.000819	1.566691	-0.156573	-0.295692	0.183504	-0.169470	-0.875789	-0.034866	0.315648	-0.122907	0.000000	0.042427	0.240893	0.277162	0.115369	0.068494
GSU0019	-1.079364	-0.684478	-0.729015	-0.852586	-0.395550	-0.399031	1.615685	1.516226	1.720372	1.153195	0.360540	0.403369	0.511579	1.351514	0.287685	-0.325733	-0.729473	0.378928	0.059300	-1.325475	-0.585099	-0.575589	-0.774747	0.657575	0.051475	1.140429	1.399902	-0.351677	-0.586668	0.590497	0.446390	-2.197593	-2.440679	-0.492968	-1.112208	0.256890	-0.193224	-0.913584	-1.276320	-1.099167	-2.472225	-0.965509	-1.342787	-0.854250	0.808827	1.145654	0.880957	1.917588	1.701050	0.131411	-0.399329	-0.523094	0.315507	-0.403847	-1.374627	0.668319	-0.352200	0.000000	0.582288	0.224139	0.207313	0.489678	0.375167
GSU0020	-0.332616	1.143544	1.093240	1.371903	1.207738	1.037724	-3.546886	-3.717676	-3.009316	1.405304	0.471230	1.107690	0.618548	0.094117	-0.285626	-0.809265	-0.354490	-0.137700	-0.156987	0.346249	-0.028092	0.699886	0.804395	0.618695	0.595296	0.920354	0.631655	1.545945	1.442301	1.644938	1.009345	0.273263	0.244981	-0.268497	-0.207115	0.466212	0.203135	0.000000	-0.266556	0.037865	-0.470450	0.308269	-0.031072	-0.118456	-0.620617	0.649673	-0.473164	0.119665	1.094527	-0.039723	-0.081275	0.007334	-0.376634	-0.257366	-0.277009	-0.240411	-0.385839	-0.347749	-0.067151	-0.152892	-0.245292	-0.046090	-0.113803
GSU0021	-1.133010	-0.222716	-0.065014	0.741714	0.573056	0.560320	-2.315213	-2.277448	-2.357284	0.450903	0.137644	0.183626	-0.899918	0.719534	0.000000	-1.282055	-0.922321	-0.664998	-0.288906	-1.351503	-1.380948	-1.058819	-1.360094	-1.588132	-1.142707	-2.926003	-2.936438	-1.264481	-1.562157	-1.529080	-1.503101	0.765487	0.423668	0.398839	0.391550	-0.217293	0.084537	0.493411	0.358623	0.332719	0.138621	0.621976	1.246276	0.704676	0.853321	0.407700	0.998606	0.888297	0.760035	-0.120242	-0.396950	-0.377202	-0.499048	-0.011897	0.062753	0.280169	-0.308279	0.154630	0.074485	-0.008568	0.213258	0.353638	0.266356
GSU0022	-1.846618	-2.616584	-2.622078	-3.147934	-2.025250	-1.496369	1.453479	1.218671	1.636628	1.899167	1.066190	0.229553	0.588349	-0.555061	-1.230770	-0.237410	-1.169757	0.025632	-1.067490	0.063273	0.692472	-0.624326	-0.103783	1.201802	0.902828	-0.080351	-0.368639	-1.035497	-0.798936	0.664979	0.600447	0.505334	0.755894	0.195382	0.809134	-0.465481	0.640621	0.137349	0.270615	0.273940	0.915095	0.179603	-0.249736	0.301679	-0.549694	-0.614319	-0.382144	-1.045123	-0.338096	0.197290	-0.105983	-0.309428	-0.437186	0.051462	-0.517694	1.139403	0.000000	-0.707121	0.000784	-0.373823	0.104549	0.358161	-0.088076
GSU0023	-0.190607	0.017603	0.051836	-0.190853	-0.165389	-0.066806	-2.972927	-3.160878	-2.852081	-0.193477	-0.057867	0.065479	0.639628	-0.646972	0.383821	-2.178995	-2.245801	0.185113	-1.804441	0.007694	0.342894	-0.230292	0.320726	-0.386296	0.165794	0.509221	0.277880	0.351318	0.358528	-1.175664	-1.518254	0.741752	0.568524	1.583834	1.765603	0.916456	0.626144	-0.427983	-0.555006	-0.185900	-0.241134	-0.409093	-0.579562	0.456984	0.088364	0.442052	0.379074	-0.232012	0.366667	0.500074	0.000000	-1.971758	-1.940769	-0.241286	-0.750355	-0.883435	-0.912763	0.332798	-0.050078	0.010535	0.130587	0.552513	0.228746
GSU0024	0.215365	0.475304	0.636859	-0.176136	-0.519656	-0.665891	-1.220974	-1.050108	-1.027615	-0.391797	-1.040445	-0.752522	0.754218	0.444778	0.542214	-2.080036	-1.960182	0.000000	-0.919603	-0.669903	-0.302921	-2.196686	-0.939207	-0.770230	-1.354003	-1.037249	-1.124011	-1.353293	-1.430950	-2.491617	-1.913032	0.751578	0.907931	1.703723	1.869057	1.007432	1.110232	0.055207	0.175990	0.151084	-0.197087	0.190367	0.275570	0.717913	0.305310	0.667303	0.505614	0.307621	0.624129	0.512072	0.615782	-1.302530	-1.334847	-0.344496	-0.625787	-0.556075	-0.754587	1.003003	0.761848	0.773078	0.676317	1.096169	1.027338
GSU0025	2.321503	2.282995	2.445740	-0.204110	-0.132371	-0.106063	-0.756928	-0.836972	0.111690	-0.706802	-0.690983	-0.161965	1.433402	0.474342	1.485034	-1.456232	-0.450825	0.350134	0.244155	-0.615961	-0.245073	-1.061393	0.000000	1.974366	2.509351	-1.142148	-1.179260	-0.832631	-0.058400	-0.901121	-0.477565	0.656253	0.656962	0.526383	0.247651	0.051298	0.002749	0.010577	0.199970	0.187316	0.312181	-0.150580	-0.213792	2.179121	1.733301	1.782960	1.481130	1.930154	2.202627	0.662353	-0.135510	-0.192176	0.023383	-0.287741	-0.053217	0.431381	-0.023720	-0.281654	-0.086310	-0.260813	0.046081	-0.400085	-0.205431
GSU0026	1.113206	0.728220	0.835750	-0.548531	-0.720155	-0.794277	-0.159336	-0.088677	0.351398	-0.615623	-0.579899	-0.776712	1.090413	1.039529	0.985666	-2.169391	-1.468981	0.496562	-0.705668	-2.540740	-1.575053	-1.667798	-2.184300	-0.504167	-0.898558	-2.299351	-1.157288	-1.316446	-0.657044	-2.706327	-1.059401	1.065663	0.932657	0.624831	0.752866	0.451602	0.495210	0.517203	0.479643	0.984491	-0.638582	-0.524428	-0.520927	1.086782	0.670733	0.750042	0.842430	0.653365	1.132359	0.295165	-0.191526	0.061026	-0.350778	0.516474	0.169783	0.955780	-0.237049	-0.313343	0.043962	0.225532	-0.099066	0.456980	0.000000
GSU0027	0.135501	-0.037362	-0.369191	-0.892008	-1.341871	-1.525126	-0.187626	0.249822	0.018557	-0.847194	-1.131875	0.000000	1.633405	1.847836	0.525401	-3.372555	-3.104242	-0.312060	-0.676002	1.035475	1.794457	0.348301	1.542718	-0.150866	-0.731261	1.400281	1.752734	1.540576	1.419903	1.694990	1.373094	0.018867	0.556027	0.832943	1.064487	0.204643	0.397314	0.338087	0.690014	-0.337500	-0.057267	-0.645674	-0.533875	0.349351	-0.195078	-0.115439	0.092824	-0.267350	0.276230	0.478360	-0.008765	-0.882007	-0.134461	0.151126	-0.043811	0.557093	-0.161819	0.158938	-0.331373	-0.371567	-0.122138	-0.080999	-0.234801
GSU0028	-0.423458	-0.137608	-0.245626	-1.855602	-2.565886	-2.003215	-0.270154	-0.169072	-0.134256	-1.380314	-0.898488	-0.322060	0.824419	-1.221881	0.367538	-2.338916	-1.966884	-0.228084	-1.506207	0.743239	0.469821	-0.078789	0.136170	2.239789	2.144123	0.000000	-0.045622	-0.636149	-0.480351	1.184291	1.031824	1.397003	1.337467	1.206007	0.525584	0.386066	0.032670	0.382005	-0.011447	0.354626	0.265900	1.565098	1.471887	0.589054	0.139695	0.256809	0.486827	0.685405	0.247853	-0.041990	0.542842	-0.991455	-1.860280	-0.775872	-0.010533	-0.069445	-0.321499	0.059636	0.073955	0.149327	-0.035265	-0.267522	0.073514
GSU0029	-0.655698	0.136000	0.243001	-1.433029	-2.290418	-1.951264	0.401552	0.629525	0.718925	-0.729732	-0.852382	-0.859843	0.602256	0.821372	0.552545	-2.933565	-1.810673	-0.804016	-0.303211	0.246245	0.000000	0.829609	-0.098634	-0.162019	-0.466098	-0.087224	-0.262755	0.488392	0.137973	0.257901	0.347613	0.133067	0.221254	0.950814	0.545072	1.270322	0.355157	-1.814507	-1.884090	-2.001701	-0.271099	-0.541841	-0.318818	0.631964	0.110567	-0.750750	0.183001	-0.109399	-0.091045	0.666151	-0.087019	-2.276264	-1.873153	-1.200797	-1.162856	0.168525	-0.991316	0.639519	0.811422	0.662187	1.059576	1.449482	1.299222
GSU0030	1.090589	0.230230	0.191288	-1.013087	-0.910591	-1.045094	1.599611	1.727261	1.724809	-0.818743	-0.591222	-0.594831	0.236634	0.684306	0.523299	-0.476998	-0.304650	-0.100685	0.365721	1.310872	1.412044	1.808787	1.867681	1.394710	1.052835	0.673379	0.863852	1.572041	1.499859	0.076160	0.000564	-2.514684	-2.119210	-1.513157	-1.805155	-0.944708	-1.286028	-0.700564	-1.032085	0.001138	0.930943	-0.229699	-0.933582	0.048145	0.403633	0.424628	0.135527	0.656439	0.997339	-0.398263	-0.009924	-0.518128	-0.617258	-0.553994	-0.964583	0.000000	-0.988822	-0.002283	-0.111465	-0.224562	-0.291840	-0.005469	0.120143
GSU0031	0.320921	-0.854491	-0.760114	-1.071591	-0.837606	-1.061000	3.258051	3.259687	3.094056	-0.694199	-0.343816	-0.460297	1.247373	0.668747	0.812497	-0.843155	-0.281455	0.405549	0.236055	-1.406771	-0.330156	-0.545985	0.644735	0.135853	0.427306	-1.399674	-0.700307	-0.606727	-0.677725	-1.090990	0.152598	-0.136448	-0.176487	-1.185245	-0.820455	-1.455829	-0.963610	0.777858	0.564678	0.445985	1.245517	-0.200914	-0.367376	0.180674	0.536830	1.085756	0.491687	0.806622	1.026716	-0.321653	0.574776	0.000000	-0.457795	-0.732388	-0.087255	0.136380	-0.500964	0.032715	0.398003	0.288508	0.723901	0.746804	0.926798
GSU0032	0.502562	-1.261413	-1.028538	-1.882781	-0.855389	-1.274343	1.579883	1.919667	2.103632	0.005435	0.592563	-0.161610	1.564030	-0.015172	0.769334	-1.207138	-1.011193	1.141619	-1.101675	-0.301244	0.009833	-0.131046	-0.029388	0.484464	0.020787	-0.353062	-0.859725	-0.079667	-0.730634	0.415649	0.074780	1.061732	0.863356	-0.887274	-0.537813	-0.799887	-0.515620	1.282317	1.557869	1.188460	1.290225	1.469062	1.445068	-1.124223	-1.439880	-1.515611	-1.509445	-1.078735	-0.982615	-0.247974	1.665971	-0.342884	-0.103903	0.172393	-0.125061	0.654959	0.000000	0.560069	0.591789	0.396959	0.877677	1.007209	1.139661
GSU0033	2.288884	0.956475	0.984652	-0.752821	-0.945840	-0.992740	-0.092797	0.125873	0.256466	0.000000	-0.000161	-0.045522	1.732180	1.535932	1.418610	-2.275073	-1.668960	0.606103	-0.309024	0.202443	0.181379	-0.570305	-0.457262	0.467969	0.296545	-0.628610	-0.713972	-0.089310	-0.054704	0.917055	0.864275	0.573680	0.660154	-1.051293	-0.717282	-0.595181	-0.451704	0.668127	0.719516	0.824919	0.592243	0.843594	0.794591	-0.648592	-1.192723	-0.657103	-1.004193	-1.059593	-0.596245	0.656338	2.480301	-1.130349	-0.920516	-0.651601	-0.781076	-0.701397	-0.763454	1.228078	1.300274	1.320097	1.277780	1.855831	1.468161
GSU0034	2.559423	0.662138	0.608302	-0.627930	-0.645382	-0.724991	0.248976	0.115582	0.280048	-0.306899	0.026236	-0.003093	1.247408	-0.070545	0.943098	-0.504452	-0.702005	0.418462	-0.053060	-0.953130	-1.090935	-0.771497	-1.029847	-1.194809	-1.192808	1.230617	1.273189	-0.400141	-0.166191	-0.462787	-0.161936	-0.575672	0.000000	-1.310299	-0.801518	-2.092905	-1.716033	1.021206	1.000670	0.462012	0.746209	1.494505	1.721524	0.518603	-0.010830	0.512590	0.170010	0.199825	0.284622	-0.226876	1.453077	-1.001961	-0.902959	-0.280544	-0.400742	0.052764	-0.392659	1.150942	1.278523	1.149852	1.407540	2.419506	2.318440
GSU0035	1.429498	0.193307	0.172084	-0.231897	-0.478301	-0.387168	2.855271	2.886464	2.472336	0.548571	0.777684	-0.633882	0.387911	-0.010558	1.534637	0.633713	1.455951	0.782735	0.817926	1.125622	0.726158	0.323492	-0.040893	1.877372	2.204987	1.305200	0.918674	0.352080	0.508772	1.721723	1.236649	-0.326481	0.011713	-0.949684	-1.086103	-0.584808	-0.405162	-0.286145	-0.902555	0.185129	-0.398031	-0.804010	-1.012546	1.105363	0.683028	-0.347175	0.550395	-0.002294	-0.313466	-0.160951	0.455669	0.000000	-0.339511	-0.507723	-0.219181	-1.856031	-0.347092	-0.321224	-0.765017	-0.783233	-1.024614	-0.465016	-0.904138
GSU0036	-0.004688	-1.395037	-1.315219	-1.249151	-1.268592	-1.699426	3.275085	3.155480	2.187846	0.380842	0.028657	-1.808603	-0.701318	0.371084	0.000000	-0.056278	0.506176	-0.276691	0.324556	0.770437	0.803076	0.855720	1.247712	0.422257	1.189370	-0.642453	-0.558549	0.514695	0.685476	0.000220	0.540784	-1.674906	-2.052329	0.748434	0.209155	0.128241	0.243540	-1.148497	-0.314926	-0.791961	-0.739236	-0.686596	-1.048726	-0.209898	-0.623342	-0.227156	-0.128505	-0.178869	0.465455	0.049882	-0.015015	0.276757	-0.155007	0.021714	-0.311978	0.789203	0.540791	0.800525	0.697254	0.120802	-0.425023	-0.567977	-0.256845
