GENE	Log_Ratio_7440_1	Log_Ratio_7440_2	Log_Ratio_7440_3	Log_Ratio_7440_4	Log_Ratio_7440_5	Log_Ratio_7440_6	Log_Ratio_7440_7	Log_Ratio_7440_8	Log_Ratio_7440_9	Log_Ratio_7440_10	Log_Ratio_7440_11	Log_Ratio_7440_12	Log_Ratio_7441_1	Log_Ratio_7441_2	Log_Ratio_7441_3	Log_Ratio_7441_4	Log_Ratio_7441_5	Log_Ratio_7916_1	Log_Ratio_7916_2	Log_Ratio_7917_1	Log_Ratio_7917_2	Log_Ratio_7917_3	Log_Ratio_7917_4	Log_Ratio_7917_5	Log_Ratio_7917_6	Log_Ratio_7918_1	Log_Ratio_7918_2	Log_Ratio_7918_3	Log_Ratio_7918_4	Log_Ratio_7918_5	Log_Ratio_7918_6	Log_Ratio_7920_1	Log_Ratio_7920_2	Log_Ratio_7920_3	Log_Ratio_7920_4	Log_Ratio_7920_5	Log_Ratio_7920_6	Log_Ratio_7921_1	Log_Ratio_7921_2	Log_Ratio_7921_3	Log_Ratio_7921_4	Log_Ratio_7921_5	Log_Ratio_7921_6	Log_Ratio_7923_1	Log_Ratio_7923_2	Log_Ratio_7923_3	Log_Ratio_7923_4	Log_Ratio_7923_5	Log_Ratio_7923_6	Log_Ratio_7924_1	Log_Ratio_7925_1	Log_Ratio_7926_1	Log_Ratio_7926_2	Log_Ratio_7926_3	Log_Ratio_7926_4	Log_Ratio_7926_5	Log_Ratio_7926_6	Log_Ratio_7927_1	Log_Ratio_7927_2	Log_Ratio_7927_3	Log_Ratio_7927_4	Log_Ratio_7927_5	Log_Ratio_7927_6
GSU0332	1.254394	1.630992	1.531422	0.474878	0.978520	0.858631	-2.534719	-2.795282	-2.900243	0.401638	0.363859	0.000000	0.645486	1.289897	1.875075	-1.630332	-2.486751	-0.035535	-0.087116	-0.549405	1.340578	1.434059	0.012844	0.196832	0.352717	0.049868	-0.231083	0.040225	-0.077967	-0.774505	-0.482591	0.208380	0.227120	0.832329	0.707242	0.368860	0.297770	-0.220613	-0.284300	-0.188873	-0.163672	-0.372845	-0.374321	1.234632	0.829723	1.059714	1.118118	1.339086	1.320758	-0.008347	-0.000484	-0.393857	-0.417759	-0.309286	-0.370862	-0.202664	-0.478278	-0.151138	-0.163278	-0.114405	-0.516289	0.010734	-0.076241
GSU0333	-0.028772	0.338410	0.402783	0.858664	0.077659	0.344250	-3.184790	-3.275449	-3.227930	-0.105708	-0.382062	0.218969	-0.035748	-1.803949	-1.444164	0.230599	-0.265062	0.455910	-1.783239	-0.506249	-0.820805	-0.630977	-0.487068	-0.736724	-0.748081	-0.116914	-0.126727	-0.671430	-0.569153	-0.088828	-0.406049	0.895267	0.834509	1.973222	0.724917	0.393374	0.324803	0.694629	0.722032	0.519232	0.458882	1.000396	0.922708	-0.714164	-0.927382	-0.003182	-0.807326	-0.851923	0.000000	0.670870	0.332431	-0.033898	0.196718	1.107040	0.961170	1.071337	1.165326	0.231463	0.043415	0.038006	0.000847	-0.064478	-0.092538
GSU0334	-0.868911	-0.032922	-0.039530	0.848967	0.865613	0.745325	-2.368659	-2.664965	-2.633981	-0.028668	-0.218075	0.196327	-1.642715	-1.511402	-0.602929	0.783112	0.390822	0.059207	-1.092452	-1.138215	-1.047500	-0.973251	-0.996855	-0.956610	-1.074874	-1.214720	-1.213869	-1.416162	-1.513140	-1.408753	-1.160372	1.060565	1.530701	1.529127	0.773162	0.235674	0.646535	0.374910	0.538788	-0.016002	0.809504	0.816457	0.986771	0.150441	0.126790	0.000000	-0.021275	0.105273	-0.138453	0.482593	0.260046	0.484659	-0.183423	0.719564	1.865132	0.242168	1.433675	0.100657	-0.057333	0.045499	-0.075832	0.272505	-0.146461
GSU0335	-1.933592	-1.099357	-1.085207	0.238584	0.302969	-0.037291	-1.699926	-2.237700	-2.572450	-0.500049	-0.590495	0.176730	-1.632945	-2.239193	-1.793246	0.749087	0.317219	0.384695	-2.224327	-0.953238	-0.738334	-0.706558	-0.881185	-0.095398	0.630304	-1.091636	-1.274323	-1.030116	-0.936510	-0.568697	-0.523498	1.225221	1.458829	1.893672	1.387217	1.096728	0.910284	0.000000	-0.030113	-1.137272	0.358144	0.375402	-0.477912	0.671654	0.663196	0.287366	0.669693	0.814405	0.604415	0.926506	0.245895	-0.606673	-0.147799	0.467397	0.185174	0.179303	0.668357	0.063427	0.049983	-0.035504	0.429311	0.362296	-0.057155
GSU0336	-1.842336	-0.825059	-0.939274	0.932101	0.965419	0.641233	-1.607042	-2.199411	-2.201999	-1.182588	0.094181	0.542025	-0.699143	-3.528293	-1.417638	1.394421	1.074506	-0.393546	-0.876912	-1.160628	-1.388941	-0.583836	-0.442821	-0.941975	-1.166380	-1.603532	-1.865141	-0.756964	-0.958120	-0.876541	-0.665508	0.711531	0.737483	1.935710	1.147241	0.125692	0.493956	0.129448	0.054275	-0.326546	-0.320885	-0.121369	0.037924	-0.064974	0.249384	0.169420	-0.328554	0.418135	0.526533	0.770679	0.000000	-0.083746	-0.202534	0.391705	0.835433	0.965372	0.631382	0.180963	0.040586	0.244457	0.052265	0.359609	0.264619
GSU0337	-1.230699	0.207921	0.206867	1.396735	1.412752	1.438815	-3.390604	-3.585350	-3.428846	1.589650	1.165787	1.148621	-0.840233	-0.845815	-0.574127	0.266604	0.715089	-0.425205	-0.086187	-0.197348	-0.135878	-0.529244	-0.507568	-0.170337	0.270961	0.497819	0.217894	-0.163802	-0.082043	1.262516	-0.053654	0.773086	0.399175	1.160612	0.620369	0.268467	0.293074	0.189420	-0.020144	0.000000	-0.099064	0.375591	0.314625	0.853058	0.755968	0.508977	0.748449	1.015072	0.545431	0.301500	-0.155898	-0.468850	-0.736392	-0.315759	-0.219424	-0.161991	0.058676	-0.314979	-0.228860	-0.303593	-0.181555	-0.380310	-0.283726
GSU0338	-0.450040	-0.139250	-0.214328	1.008460	0.930852	1.296550	-1.622375	-1.994651	-2.892764	0.485606	0.967898	1.991991	0.311720	-1.876262	-0.714318	1.411855	0.603653	0.728482	-0.833824	-1.076134	-1.323177	-1.006117	-0.656538	-0.967403	-1.073562	-0.201281	-0.082688	-0.469921	-0.344420	-1.222822	-0.873852	1.599899	0.966651	1.438319	0.311034	1.650050	0.875685	1.807105	1.157757	1.055230	1.335161	0.630750	1.451252	-0.148889	-0.102951	-0.385463	-0.241624	-0.125047	-0.231772	0.481231	-0.146340	-0.198721	0.320060	0.000000	-0.127801	-0.084574	0.991638	0.516692	0.404004	0.404330	0.466425	0.349658	0.335362
GSU0339	-0.804948	-0.562432	-0.610196	0.278719	0.462019	0.701415	-1.764586	-2.035509	-2.425417	0.445797	0.118507	1.100025	-0.264321	-1.047189	-1.210650	0.398565	0.000000	0.111418	-0.960856	-0.944745	-0.831890	-1.012137	-1.005875	-0.980780	-1.356453	-0.848096	-0.854709	-0.410629	-0.300215	-0.791759	-0.574100	1.162589	1.171940	1.186386	0.318305	1.188075	1.130606	1.450394	1.350451	0.916851	0.750950	2.347022	2.343761	-0.935512	-0.831982	-1.037945	-0.942296	-1.041616	-0.813930	0.458999	-0.175255	0.252413	0.123398	0.980725	0.764458	0.933890	1.178148	0.039915	0.029920	0.083992	0.036603	-0.199217	-0.190442
GSU0340	-0.937722	-0.351194	-0.414414	0.209976	0.458622	0.452867	-2.030983	-2.154092	-2.766708	0.944021	0.639192	1.271415	-0.062567	-1.122169	-1.045809	0.611109	-0.330149	0.154169	-0.934004	-0.276009	-0.056496	-0.121615	0.114418	-0.307969	0.077988	-0.665506	-0.563930	-0.578617	-0.295067	-0.502307	-0.397094	1.121896	1.038145	1.580418	0.529833	1.237993	1.106193	1.686395	1.827222	0.891540	0.964532	1.962689	1.970694	-1.156434	-1.084443	-0.984126	-1.222894	-1.070321	-0.935587	0.711139	-0.009341	0.213409	0.384719	0.793143	0.939931	1.196649	1.150028	0.077154	-0.023166	0.006742	0.000000	-0.288434	-0.315448
GSU0341	-0.505142	0.122294	0.098913	0.801422	1.031511	1.093631	-2.282621	-2.527471	-3.043016	0.936414	0.914199	1.280143	-0.393937	-0.990362	-0.660257	0.844060	0.333937	0.611759	-0.958383	-0.707198	-0.543963	-0.799922	-0.704835	-0.560934	-0.657032	-0.300486	-0.193508	-0.376826	-0.101277	-0.126502	-0.262111	0.746120	0.627237	1.283824	0.349390	0.892009	0.811234	1.680403	1.757402	0.900450	0.924269	2.023324	2.151165	-0.933332	-0.866312	-0.958821	-0.809847	-0.969201	-0.592381	0.579177	0.126423	0.226728	0.351695	0.499711	0.779547	0.901224	0.932868	-0.062695	-0.039563	-0.016909	0.000000	-0.279305	-0.207375
